name,lat,lng,province_id
Long Xuyên,10.3686,105.4234,1
Châu Đốc,10.7,105.1167,1
Chợ Mới,10.5512,105.4044,1
Tân Châu,10.7983,105.2389,1
An Phú,10.8159,105.0904,1
Phú Mỹ,10.5924,105.3557,1
Cái Dầu,10.5698,105.2295,1
An Châu,10.4456,105.3862,1
Núi Sập,10.2648,105.2668,1
Nhà Bàng,10.6177,105.0034,1
Tri Tôn,10.4202,105.0007,1
Vũng Tàu,10.4042,107.1417,2
Thị Trấn Long Điền,10.4856,107.2123,2
Thị Trấn Phú Mỹ,10.6036,107.054,2
Thị Trấn Đất Đỏ,10.4909,107.2701,2
Thị Trấn Ngải Giao,10.6471,107.2458,2
Thị Trấn Phước Bửu,10.5347,107.402,2
Côn Đảo,8.6833,106.6063,2
Bắc Giang,21.2731,106.1947,3
Thắng,21.3551,105.9834,3
Bích Động,21.2742,106.1007,3
Vôi,21.3552,106.2615,3
Cao Thượng,21.3871,106.1293,3
Neo,21.2005,106.2474,3
Đồi Ngô,21.3063,106.3867,3
Cầu Gồ,21.4768,106.1265,3
Chũ,21.3738,106.5665,3
An Châu,21.3346,106.8493,3
Bắc Kạn,22.1514,105.8377,4
Chợ Mới,21.8837,105.7728,4
Chợ Rã,22.4511,105.7191,4
Bộc Bố,22.6121,105.6671,4
Phủ Thông,22.2731,105.8794,4
Bằng Lũng,22.1578,105.5956,4
Yến Lạc,22.2369,106.1815,4
Vân Tùng,22.4308,105.9969,4
Bạc Liêu,9.2833,105.7167,5
Thị Trấn Giá Rai,9.2379,105.4552,5
Thị Trấn Hòa Bình,9.2847,105.6292,5
Thị Trấn Phước Long,9.4375,105.4622,5
Thị Trấn Gành Hào,9.0318,105.4211,5
Thị Trấn Ngan Dừa,9.567,105.4502,5
Bắc Ninh,21.1861,106.0763,6
Hồ,21.0631,106.0857,6
Lim,21.1439,106.0202,6
Chờ,21.1949,105.9547,6
Thứa,21.0194,106.2004,6
Gia Bình,21.0594,106.1747,6
Phố Mới,21.1533,106.1516,6
Bến Tre,10.2333,106.3833,7
Châu Thành,10.3012,106.357,7
Chợ Lách,10.2603,106.1189,7
Mỏ Cày,10.1331,106.3352,7
Ba Tri,10.0443,106.5902,7
Giồng Trôm,10.1502,106.5061,7
Bình Đại,10.1896,106.6915,7
Thạnh Phú,9.9483,106.5163,7
Quy Nhơn,13.7696,109.2314,8
An Nhơn,13.8858,109.1082,8
Tuy Phước,13.8274,109.1665,8
Bồng Sơn,14.4291,109.0156,8
Phù Mỹ,14.1718,109.0489,8
Phù Cát,14.0032,109.058,8
Phú Phong,13.9096,108.919,8
Hoài Ân,14.3635,108.9648,8
Vĩnh Thạnh,14.1088,108.7838,8
An Lão,14.6124,108.8899,8
Vân Canh,13.6195,108.9981,8
Thủ Dầu Một,11.0042,106.6583,9
Dĩ An,10.9039,106.7679,9
Lái Thiêu,10.9051,106.6995,9
Tân Uyên,11.0609,106.799,9
Phước Vĩnh,11.2947,106.7953,9
Dầu Tiếng,11.2741,106.3588,9
Bình Long,11.6504,106.6,10
Đồng Xoài,11.5349,106.8832,10
Chơn Thành,11.4282,106.6354,10
Bù Đốp,11.9549,106.8002,10
Lộc Ninh,11.8448,106.5907,10
Đức Phong,11.8135,107.2443,10
Tân Phú,11.4512,106.8681,10
Phan Thiết,10.9375,108.1583,11
Phú Quý,10.5166,108.9329,11
Võ Xu,11.1869,107.5603,11
Liên Hương,11.2276,108.7237,11
Ma Lâm,11.073,108.13,11
Thuận Nam,10.85,107.8786,11
Tánh Linh,11.0842,107.6809,11
Chợ Lầu,11.2216,108.5071,11
Cà Mau,9.1833,105.15,12
Cái Nước,8.9423,105.0141,12
Trần Văn Thời,9.0771,104.9791,12
Cái Đôi Vàm,8.8571,104.812,12
Đầm Dơi,8.9921,105.196,12
Thới Bình,9.3558,105.0993,12
Năm Căn,8.759,104.9929,12
U Minh,9.4129,104.9735,12
Ngọc Hiển,8.6572,105.0602,12
Bình Thủy,10.0743,105.7397,13
Cái Răng,10.0009,105.751,13
Ô Môn,10.1097,105.6232,13
Thốt Nốt,10.2721,105.5338,13
Phong Điền,9.9975,105.6673,13
Thới Lai,10.0652,105.5586,13
Cờ Đỏ,10.0938,105.4292,13
Vĩnh Thạnh,10.2226,105.3984,13
Cần Thơ,10.0333,105.7833,14
Cao Bằng,22.6731,106.25,14
